wavenumber,transmittance
2751.2119,0.045819
2748.6317,0.048770
2746.0516,0.050975
2743.4715,0.049630
2740.8913,0.049380
2738.3112,0.047861
2735.7310,0.047103
2733.1509,0.046178
2730.5708,0.045352
2727.9906,0.045668
2725.4105,0.047402
2722.8303,0.045760
2720.2502,0.043561
2717.6701,0.043828
2715.0899,0.045532
2712.5098,0.043270
2709.9296,0.040998
2707.3495,0.039374
2704.7694,0.039826
2702.1892,0.039665
2699.6091,0.040222
2697.0289,0.039320
2694.4488,0.038179
2691.8686,0.037023
2689.2885,0.036499
2686.7084,0.036470
2684.1282,0.036731
2681.5481,0.037173
2678.9679,0.037581
2676.3878,0.037797
2673.8077,0.037764
2671.2275,0.037595
2668.6474,0.037364
2666.0672,0.037044
2663.4871,0.036636
2660.9070,0.036145
2658.3268,0.035471
2655.7467,0.034790
2653.1665,0.035831
2650.5864,0.036461
2648.0063,0.035390
2645.4261,0.034168
2642.8460,0.034388
2640.2658,0.034524
2637.6857,0.033997
2635.1056,0.034600
2632.5254,0.034600
2629.9453,0.033647
2627.3651,0.032286
2624.7850,0.031611
2622.2048,0.031424
2619.6247,0.031538
2617.0446,0.031431
2614.4644,0.031334
2611.8843,0.031172
2609.3041,0.030525
2606.7240,0.029532
2604.1439,0.028778
2601.5637,0.028101
2598.9836,0.027970
2596.4034,0.028873
2593.8233,0.029515
2591.2432,0.028245
2588.6630,0.026096
2586.0829,0.024563
2583.5027,0.024359
2580.9226,0.024895
2578.3425,0.025101
2575.7623,0.024640
2573.1822,0.025812
2570.6020,0.027196
2568.0219,0.027206
2565.4418,0.025319
2562.8616,0.024277
2560.2815,0.024470
2557.7013,0.025342
2555.1212,0.025466
2552.5410,0.025700
2549.9609,0.025166
2547.3808,0.025162
2544.8006,0.024315
2542.2205,0.024073
2539.6403,0.022929
2537.0602,0.022407
2534.4801,0.021841
2531.8999,0.021399
2529.3198,0.021247
2526.7396,0.021364
2524.1595,0.021966
2521.5794,0.022422
2518.9992,0.022285
2516.4191,0.022872
2513.8389,0.024319
2511.2588,0.025312
2508.6787,0.024349
2506.0985,0.022379
2503.5184,0.020846
2500.9382,0.020752
2498.3581,0.021493
2495.7780,0.021867
2493.1978,0.021685
2490.6177,0.021072
2488.0375,0.019984
2485.4574,0.019289
2482.8772,0.018613
2480.2971,0.017723
2477.7170,0.016450
2475.1368,0.015675
2472.5567,0.015192
2469.9765,0.015007
2467.3964,0.015121
2464.8163,0.015664
2462.2361,0.015994
2459.6560,0.015803
2457.0758,0.015440
2454.4957,0.015859
2451.9156,0.016697
2449.3354,0.017216
2446.7553,0.017033
2444.1751,0.016286
2441.5950,0.015339
2439.0149,0.014810
2436.4347,0.014851
2433.8546,0.014534
2431.2744,0.013656
2428.6943,0.012824
2426.1142,0.012582
2423.5340,0.012787
2420.9539,0.013772
2418.3737,0.013641
2415.7936,0.012399
2413.2134,0.011790
2410.6333,0.012924
2408.0532,0.014057
2405.4730,0.014527
2402.8929,0.014857
2400.3127,0.014961
2397.7326,0.014843
2395.1525,0.014377
2392.5723,0.014334
2389.9922,0.014085
2387.4120,0.013930
2384.8319,0.013293
2382.2518,0.012398
2379.6716,0.011071
2377.0915,0.010590
2374.5113,0.010973
2371.9312,0.011358
2369.3511,0.011419
2366.7709,0.011422
2364.1908,0.011669
2361.6106,0.012006
2359.0305,0.011853
2356.4504,0.011207
2353.8702,0.010522
2351.2901,0.010147
2348.7099,0.009920
2346.1298,0.009857
2343.5496,0.009956
2340.9695,0.010218
2338.3894,0.010644
2335.8092,0.011233
2333.2291,0.011990
2330.6489,0.012945
2328.0688,0.014226
2325.4887,0.013656
2322.9085,0.012397
2320.3284,0.011867
2317.7482,0.013506
2315.1681,0.014178
2312.5880,0.013412
2310.0078,0.011770
2307.4277,0.011004
2304.8475,0.011805
2302.2674,0.012815
2299.6873,0.012723
2297.1071,0.012492
2294.5270,0.014081
2291.9468,0.016266
2289.3667,0.016916
2286.7866,0.015871
2284.2064,0.014132
2281.6263,0.012296
2279.0461,0.010960
2276.4660,0.010499
2273.8858,0.010821
2271.3057,0.011619
2268.7256,0.012562
2266.1454,0.012885
2263.5653,0.011968
2260.9851,0.011078
2258.4050,0.011595
2255.8249,0.013128
2253.2447,0.013857
2250.6646,0.013060
2248.0844,0.011587
2245.5043,0.010569
2242.9242,0.010700
2240.3440,0.011994
2237.7639,0.013182
2235.1837,0.013361
2232.6036,0.012639
2230.0235,0.012262
2227.4433,0.012210
2224.8632,0.012497
2222.2830,0.012754
2219.7029,0.012499
2217.1228,0.011759
2214.5426,0.011177
2211.9625,0.011330
2209.3823,0.012131
2206.8022,0.012611
2204.2220,0.013393
2201.6419,0.014668
2199.0618,0.016155
2196.4816,0.016628
2193.9015,0.016527
2191.3213,0.015757
2188.7412,0.014374
2186.1611,0.013594
2183.5809,0.013821
2181.0008,0.014580
2178.4206,0.014922
2175.8405,0.015057
2173.2604,0.014821
2170.6802,0.015216
2168.1001,0.015885
2165.5199,0.017076
2162.9398,0.015848
2160.3597,0.014781
2157.7795,0.012410
2155.1994,0.009731
2152.6192,0.007373
2150.0391,0.008271
2147.4590,0.009959
2144.8788,0.009914
2142.2987,0.008961
2139.7185,0.008208
2137.1384,0.007761
2134.5582,0.006948
2131.9781,0.006942
2129.3980,0.009352
2126.8178,0.010760
2124.2377,0.011295
2121.6575,0.011383
2119.0774,0.012155
2116.4973,0.011189
2113.9171,0.010593
2111.3370,0.010936
2108.7568,0.012372
2106.1767,0.013334
2103.5966,0.013204
2101.0164,0.012353
2098.4363,0.011932
2095.8561,0.011676
2093.2760,0.011591
