cm-1,%T
2384,99.61
2383,99.61
2382,99.61
2381,99.61
2380,99.61
2379,99.6
2378,99.6
2377,99.59
2376,99.59
2375,99.59
2374,99.6
2373,99.6
2372,99.6
2371,99.6
2370,99.6
2369,99.61
2368,99.61
2367,99.61
2366,99.62
2365,99.63
2364,99.62
2363,99.61
2362,99.59
2361,99.56
2360,99.54
2359,99.55
2358,99.58
2357,99.6
2356,99.6
2355,99.58
2354,99.56
2353,99.55
2352,99.56
2351,99.57
2350,99.57
2349,99.57
2348,99.55
2347,99.52
2346,99.51
2345,99.51
2344,99.53
2343,99.53
2342,99.52
2341,99.52
2340,99.52
2339,99.52
2338,99.52
2337,99.51
2336,99.51
2335,99.5
2334,99.49
2333,99.49
2332,99.48
2331,99.47
2330,99.47
2329,99.48
2328,99.49
2327,99.49
2326,99.49
2325,99.49
2324,99.49
2323,99.49
2322,99.49
2321,99.5
2320,99.5
2319,99.51
2318,99.51
2317,99.51
2316,99.51
2315,99.5
2314,99.5
2313,99.5
2312,99.51
2311,99.52
2310,99.52
2309,99.53
2308,99.53
2307,99.54
2306,99.54
2305,99.54
2304,99.54
2303,99.54
2302,99.54
2301,99.54
2300,99.55
2299,99.57
2298,99.58
2297,99.59
2296,99.59
2295,99.59
2294,99.59
2293,99.59
2292,99.58
2291,99.58
2290,99.59
2289,99.59
2288,99.6
2287,99.6
2286,99.6
2285,99.6
2284,99.61
2283,99.62
2282,99.63
2281,99.65
2280,99.65
2279,99.65
2278,99.64
2277,99.63
2276,99.62
2275,99.62
2274,99.62
2273,99.62
2272,99.62
2271,99.63
2270,99.64
2269,99.66
2268,99.67
2267,99.68
2266,99.69
2265,99.68
2264,99.67
2263,99.65
2262,99.64
2261,99.64
2260,99.64
2259,99.65
2258,99.66
2257,99.67
2256,99.67
2255,99.67
2254,99.67
2253,99.66
2252,99.66
2251,99.65
2250,99.65
2249,99.66
2248,99.68
2247,99.7
2246,99.71
2245,99.72
2244,99.73
2243,99.74
2242,99.75
2241,99.75
2240,99.75
2239,99.74
2238,99.73
2237,99.73
2236,99.73
2235,99.73
2234,99.74
2233,99.75
2232,99.75
2231,99.75
2230,99.75
2229,99.76
2228,99.76
2227,99.77
2226,99.77
2225,99.76
2224,99.75
2223,99.73
2222,99.73
2221,99.74
2220,99.75
2219,99.76
2218,99.78
2217,99.81
2216,99.82
2215,99.83
2214,99.83
2213,99.84
2212,99.85
2211,99.84
2210,99.83
2209,99.82
2208,99.81
2207,99.8
2206,99.81
2205,99.82
2204,99.82
2203,99.82
2202,99.82
2201,99.82
2200,99.81
2199,99.8
2198,99.79
2197,99.8
2196,99.82
2195,99.84
2194,99.86
2193,99.86
2192,99.85
2191,99.83
2190,99.82
2189,99.84
2188,99.86
2187,99.86
2186,99.87
2185,99.88
2184,99.88
2183,99.87
2182,99.86
2181,99.84
2180,99.83
2179,99.82
2178,99.82
2177,99.81
2176,99.8
2175,99.77
2174,99.76
2173,99.75
2172,99.75
2171,99.74
2170,99.76
2169,99.79
2168,99.81
2167,99.81
2166,99.81
2165,99.82
2164,99.84
2163,99.87
2162,99.92
2161,99.97
2160,99.99
2159,99.98
2158,99.95
2157,99.89
2156,99.83
2155,99.78
2154,99.77
2153,99.77
2152,99.76
2151,99.72
2150,99.69
2149,99.69
2148,99.7
2147,99.7
2146,99.69
2145,99.69
2144,99.69
2143,99.7
2142,99.73
2141,99.76
2140,99.79
2139,99.8
2138,99.8
2137,99.79
2136,99.76
2135,99.73
2134,99.7
2133,99.7
2132,99.7
2131,99.71
2130,99.71
2129,99.71
2128,99.7
2127,99.69
2126,99.68
2125,99.67
2124,99.67
2123,99.66
2122,99.67
2121,99.69
2120,99.7
2119,99.69
2118,99.68
2117,99.68
2116,99.68
2115,99.68
2114,99.67
2113,99.66
2112,99.65
2111,99.64
2110,99.65
2109,99.66
2108,99.67
2107,99.66
2106,99.65
2105,99.66
2104,99.66
2103,99.65
2102,99.65
2101,99.64
2100,99.64
2099,99.63
2098,99.63
2097,99.62
2096,99.61
2095,99.61
2094,99.61
2093,99.61
2092,99.6
2091,99.59
2090,99.57
2089,99.55
2088,99.54
2087,99.53
2086,99.53
2085,99.54
2084,99.54
2083,99.53
2082,99.5
2081,99.49
2080,99.48
2079,99.48
2078,99.49
2077,99.5
2076,99.52
2075,99.54
2074,99.56
2073,99.59
2072,99.61
2071,99.61
2070,99.61
2069,99.61
2068,99.61
2067,99.62
2066,99.62
2065,99.62
2064,99.6
2063,99.57
2062,99.56
2061,99.57
2060,99.57
2059,99.56
2058,99.55
2057,99.55
2056,99.56
2055,99.56
2054,99.56
2053,99.56
2052,99.57
2051,99.58
2050,99.6
2049,99.62
2048,99.62
2047,99.62
2046,99.62
2045,99.61
2044,99.58
2043,99.53
2042,99.51
2041,99.52
2040,99.54
2039,99.55
2038,99.58
2037,99.63
2036,99.65
2035,99.64
2034,99.63
2033,99.63
2032,99.62
2031,99.61
2030,99.63
2029,99.67
2028,99.71
2027,99.71
2026,99.7
2025,99.67
2024,99.64
2023,99.61
2022,99.59
2021,99.59
2020,99.59
2019,99.58
2018,99.58
2017,99.6
2016,99.6
2015,99.59
2014,99.58
2013,99.59
2012,99.6
2011,99.6
2010,99.6
2009,99.6
2008,99.61
2007,99.62
2006,99.66
2005,99.7
2004,99.71
2003,99.69
2002,99.69
2001,99.71
2000,99.74
