wavenumber,transmittance
3721.9407,99.812988
3721.4586,99.806213
3720.9765,99.800301
3720.4944,99.795158
3720.0123,99.790596
3719.5302,99.786316
3719.0480,99.781914
3718.5659,99.776894
3718.0838,99.770767
3717.6017,99.763115
3717.1196,99.753670
3716.6375,99.742332
3716.1553,99.729126
3715.6732,99.714119
3715.1911,99.697365
3714.7090,99.678810
3714.2269,99.658401
3713.7448,99.636047
3713.2626,99.611725
3712.7805,99.585510
3712.2984,99.557571
3711.8163,99.528160
3711.3342,99.497543
3710.8521,99.465942
3710.3699,99.433487
3709.8878,99.400139
3709.4057,99.365784
3708.9236,99.330132
3708.4415,99.292847
3707.9594,99.253494
3707.4772,99.211586
3706.9951,99.166603
3706.5130,99.118027
3706.0309,99.065414
3705.5488,99.008415
3705.0667,98.946815
3704.5845,98.880508
3704.1024,98.809525
3703.6203,98.733978
3703.1382,98.654152
3702.6561,98.570457
3702.1740,98.483505
3701.6918,98.394073
3701.2097,98.303185
3700.7276,98.212090
3700.2455,98.122253
3699.7634,98.035263
3699.2813,97.952728
3698.7991,97.876160
3698.3170,97.806908
3697.8349,97.746101
3697.3528,97.694672
3696.8707,97.653351
3696.3886,97.622658
3695.9064,97.602859
3695.4243,97.594032
3694.9422,97.596069
3694.4601,97.608803
3693.9780,97.632149
3693.4959,97.666100
3693.0137,97.710640
3692.5316,97.765526
3692.0495,97.830048
3691.5674,97.903000
3691.0853,97.982727
3690.6032,98.067360
3690.1210,98.154968
3689.6389,98.243774
3689.1568,98.332260
3688.6747,98.419144
3688.1926,98.503380
3687.7105,98.584068
3687.2283,98.660431
3686.7462,98.731781
3686.2641,98.797554
3685.7820,98.857353
3685.2999,98.910919
3684.8178,98.958183
3684.3356,98.999252
3683.8535,99.034401
3683.3714,99.064117
3682.8893,99.089119
3682.4072,99.110229
3681.9251,99.128242
3681.4429,99.143646
3680.9608,99.156616
3680.4787,99.167137
3679.9966,99.175308
3679.5145,99.181335
3679.0324,99.185524
3678.5502,99.188164
3678.0681,99.189598
3677.5860,99.190170
3677.1039,99.190247
3676.6218,99.190125
3676.1397,99.189987
3675.6575,99.189911
3675.1754,99.189850
3674.6933,99.189743
3674.2112,99.189529
3673.7291,99.189171
3673.2470,99.188683
3672.7648,99.188118
3672.2827,99.187561
3671.8006,99.187088
3671.3185,99.186768
3670.8364,99.186562
3670.3543,99.186378
3669.8721,99.186089
3669.3900,99.185661
3668.9079,99.185173
3668.4258,99.184753
3667.9437,99.184372
3667.4616,99.183807
3666.9794,99.182747
3666.4973,99.180870
3666.0152,99.177933
3665.5331,99.173729
3665.0510,99.168114
3664.5689,99.161011
3664.0867,99.152405
3663.6046,99.142380
3663.1225,99.131065
3662.6404,99.118622
3662.1583,99.105156
3661.6762,99.090782
3661.1940,99.075623
3660.7119,99.059860
3660.2298,99.043762
3659.7477,99.027596
3659.2656,99.011589
3658.7835,98.995911
3658.3013,98.980591
3657.8192,98.965591
3657.3371,98.950798
3656.8550,98.936081
3656.3729,98.921371
3655.8908,98.906670
3655.4086,98.892143
3654.9265,98.878044
3654.4444,98.864700
3653.9623,98.852409
3653.4802,98.841408
3652.9981,98.831879
3652.5159,98.823929
3652.0338,98.817657
3651.5517,98.813103
3651.0696,98.810242
3650.5875,98.808990
3650.1054,98.809258
3649.6232,98.810966
3649.1411,98.814087
3648.6590,98.818626
3648.1769,98.824608
3647.6948,98.832047
3647.2127,98.840927
3646.7305,98.851257
3646.2484,98.862991
3645.7663,98.876091
3645.2842,98.890503
3644.8021,98.906158
3644.3200,98.922974
3643.8378,98.940834
3643.3557,98.959503
3642.8736,98.978638
3642.3915,98.997810
3641.9094,99.016579
3641.4273,99.034561
3640.9451,99.051476
3640.4630,99.067146
3639.9809,99.081421
3639.4988,99.094154
3639.0167,99.105202
3638.5346,99.114441
3638.0524,99.121811
3637.5703,99.127335
3637.0882,99.131165
3636.6061,99.133583
3636.1240,99.134987
3635.6419,99.135834
3635.1597,99.136604
3634.6776,99.137634
3634.1955,99.139099
3633.7134,99.140953
3633.2313,99.142960
3632.7492,99.144783
3632.2670,99.146027
3631.7849,99.146309
3631.3028,99.145302
3630.8207,99.142769
3630.3386,99.138542
3629.8565,99.132500
3629.3743,99.124580
3628.8922,99.114723
3628.4101,99.102852
3627.9280,99.088913
3627.4459,99.072830
3626.9638,99.054558
3626.4816,99.034042
3625.9995,99.011238
3625.5174,98.986153
3625.0353,98.958878
3624.5532,98.929695
3624.0711,98.899162
3623.5889,98.868118
3623.1068,98.837616
3622.6247,98.808792
3622.1426,98.782776
3621.6605,98.760628
3621.1784,98.743271
3620.6962,98.731461
3620.2141,98.725761
3619.7320,98.726524
3619.2499,98.733871
3618.7678,98.747734
3618.2857,98.767845
3617.8035,98.793770
3617.3214,98.824852
3616.8393,98.860222
3616.3572,98.898781
3615.8751,98.939224
3615.3930,98.980118
3614.9108,99.019951
3614.4287,99.057327
3613.9466,99.091064
3613.4645,99.120407
3612.9824,99.145050
3612.5003,99.165176
3612.0181,99.181290
3611.5360,99.194023
3611.0539,99.204041
3610.5718,99.211891
3610.0897,99.218048
3609.6076,99.222893
3609.1254,99.226707
3608.6433,99.229744
3608.1612,99.232193
3607.6791,99.234238
3607.1970,99.236038
3606.7149,99.237740
3606.2327,99.239464
3605.7506,99.241302
3605.2685,99.243279
3604.7864,99.245377
3604.3043,99.247520
3603.8222,99.249603
3603.3400,99.251526
3602.8579,99.253189
3602.3758,99.254547
3601.8937,99.255608
3601.4116,99.256416
3600.9295,99.257057
3600.4473,99.257591
3599.9652,99.258102
3599.4831,99.258636
3599.0010,99.259254
3598.5189,99.260025
3598.0368,99.261040
3597.5546,99.262398
3597.0725,99.264183
3596.5904,99.266464
3596.1083,99.269279
3595.6262,99.272629
3595.1441,99.276451
3594.6619,99.280579
3594.1798,99.284775
3593.6977,99.288696
3593.2156,99.291962
3592.7335,99.294258
3592.2514,99.295418
3591.7692,99.295479
3591.2871,99.294685
3590.8050,99.293365
3590.3229,99.291885
3589.8408,99.290543
3589.3587,99.289520
3588.8765,99.288879
3588.3944,99.288589
3587.9123,99.288551
3587.4302,99.288681
3586.9481,99.288933
3586.4660,99.289330
3585.9838,99.289970
3585.5017,99.290970
3585.0196,99.292404
3584.5375,99.294281
3584.0554,99.296478
3583.5733,99.298737
3583.0911,99.300697
3582.6090,99.301979
3582.1269,99.302284
3581.6448,99.301491
3581.1627,99.299736
3580.6806,99.297348
3580.1984,99.294746
3579.7163,99.292305
3579.2342,99.290245
3578.7521,99.288574
3578.2700,99.287132
3577.7879,99.285629
3577.3057,99.283768
3576.8236,99.281311
3576.3415,99.278175
3575.8594,99.274467
3575.3773,99.270462
3574.8952,99.266563
3574.4130,99.263199
3573.9309,99.260719
3573.4488,99.259308
3572.9667,99.258949
3572.4846,99.259430
3572.0025,99.260468
3571.5203,99.261742
3571.0382,99.263046
3570.5561,99.264259
3570.0740,99.265343
3569.5919,99.266266
3569.1098,99.266991
3568.6276,99.267380
3568.1455,99.267258
3567.6634,99.266418
3567.1813,99.264709
3566.6992,99.262093
3566.2171,99.258705
3565.7349,99.254868
3565.2528,99.250999
3564.7707,99.247566
3564.2886,99.244942
3563.8065,99.243355
3563.3244,99.242821
3562.8422,99.243126
3562.3601,99.243874
3561.8780,99.244583
3561.3959,99.244781
3560.9138,99.244102
3560.4317,99.242348
3559.9495,99.239525
3559.4674,99.235725
3558.9853,99.231140
3558.5032,99.225914
3558.0211,99.220215
3557.5390,99.214172
3557.0568,99.207970
3556.5747,99.201828
3556.0926,99.196060
3555.6105,99.190987
3555.1284,99.186966
3554.6463,99.184273
3554.1641,99.183044
3553.6820,99.183273
3553.1999,99.184723
3552.7178,99.187012
3552.2357,99.189644
3551.7536,99.192108
3551.2714,99.193932
3550.7893,99.194794
3550.3072,99.194504
3549.8251,99.193031
3549.3430,99.190445
3548.8609,99.186905
3548.3787,99.182587
3547.8966,99.177666
3547.4145,99.172295
3546.9324,99.166595
3546.4503,99.160706
3545.9682,99.154755
3545.4860,99.148903
3545.0039,99.143349
3544.5218,99.138283
3544.0397,99.133865
3543.5576,99.130226
3543.0755,99.127441
3542.5933,99.125511
3542.1112,99.124397
3541.6291,99.124016
3541.1470,99.124252
3540.6649,99.125000
3540.1828,99.126114
3539.7006,99.127464
3539.2185,99.128914
3538.7364,99.130287
3538.2543,99.131416
3537.7722,99.132118
3537.2901,99.132240
3536.8079,99.131630
3536.3258,99.130180
3535.8437,99.127777
3535.3616,99.124367
3534.8795,99.119942
3534.3974,99.114540
3533.9152,99.108330
3533.4331,99.101593
3532.9510,99.094704
3532.4689,99.088135
3531.9868,99.082344
3531.5047,99.077728
3531.0225,99.074562
3530.5404,99.072960
3530.0583,99.072861
3529.5762,99.074074
3529.0941,99.076332
3528.6120,99.079315
3528.1298,99.082741
3527.6477,99.086327
3527.1656,99.089844
3526.6835,99.093102
3526.2014,99.095901
3525.7193,99.098045
3525.2371,99.099358
3524.7550,99.099686
3524.2729,99.098930
3523.7908,99.097069
3523.3087,99.094185
3522.8266,99.090462
3522.3444,99.086182
3521.8623,99.081680
3521.3802,99.077286
3520.8981,99.073265
3520.4160,99.069809
3519.9339,99.066963
3519.4517,99.064697
3518.9696,99.062904
3518.4875,99.061462
3518.0054,99.060265
3517.5233,99.059227
3517.0412,99.058289
3516.5590,99.057388
3516.0769,99.056450
3515.5948,99.055359
3515.1127,99.053986
3514.6306,99.052216
3514.1485,99.049965
3513.6663,99.047218
3513.1842,99.044029
3512.7021,99.040489
3512.2200,99.036682
3511.7379,99.032700
3511.2558,99.028587
3510.7736,99.024391
3510.2915,99.020149
3509.8094,99.015923
3509.3273,99.011826
3508.8452,99.008011
3508.3631,99.004601
3507.8809,99.001701
3507.3988,98.999306
3506.9167,98.997322
3506.4346,98.995567
3505.9525,98.993843
3505.4704,98.991936
3504.9882,98.989716
3504.5061,98.987114
3504.0240,98.984146
3503.5419,98.980896
3503.0598,98.977440
3502.5777,98.973892
3502.0955,98.970314
3501.6134,98.966736
3501.1313,98.963188
3500.6492,98.959686
3500.1671,98.956261
3499.6850,98.952988
3499.2028,98.949928
3498.7207,98.947174
3498.2386,98.944771
3497.7565,98.942719
3497.2744,98.940933
3496.7923,98.939285
3496.3101,98.937569
3495.8280,98.935593
3495.3459,98.933212
3494.8638,98.930351
3494.3817,98.927040
3493.8996,98.923416
3493.4174,98.919655
3492.9353,98.915962
3492.4532,98.912498
3491.9711,98.909363
3491.4890,98.906570
3491.0069,98.904068
3490.5247,98.901772
3490.0426,98.899567
3489.5605,98.897369
3489.0784,98.895111
3488.5963,98.892754
3488.1142,98.890251
3487.6320,98.887581
3487.1499,98.884689
3486.6678,98.881561
3486.1857,98.878166
3485.7036,98.874496
3485.2215,98.870590
3484.7393,98.866524
3484.2572,98.862389
3483.7751,98.858315
3483.2930,98.854462
3482.8109,98.850975
3482.3288,98.847992
3481.8466,98.845634
3481.3645,98.843956
3480.8824,98.842979
3480.4003,98.842628
3479.9182,98.842773
3479.4361,98.843216
3478.9539,98.843727
3478.4718,98.844078
3477.9897,98.844078
3477.5076,98.843575
3477.0255,98.842499
3476.5434,98.840843
3476.0612,98.838638
3475.5791,98.835945
3475.0970,98.832825
3474.6149,98.829330
3474.1328,98.825531
3473.6507,98.821495
3473.1685,98.817291
3472.6864,98.813034
3472.2043,98.808838
3471.7222,98.804817
3471.2401,98.801071
3470.7580,98.797661
3470.2758,98.794601
3469.7937,98.791878
3469.3116,98.789452
3468.8295,98.787277
3468.3474,98.785286
3467.8653,98.783463
3467.3831,98.781776
3466.9010,98.780228
3466.4189,98.778809
3465.9368,98.777519
3465.4547,98.776360
3464.9726,98.775330
3464.4904,98.774452
3464.0083,98.773750
3463.5262,98.773254
3463.0441,98.773033
3462.5620,98.773117
3462.0799,98.773544
3461.5977,98.774307
3461.1156,98.775345
3460.6335,98.776558
3460.1514,98.777786
3459.6693,98.778831
3459.1872,98.779488
3458.7050,98.779564
3458.2229,98.778938
3457.7408,98.777557
3457.2587,98.775452
3456.7766,98.772713
3456.2945,98.769478
3455.8123,98.765869
3455.3302,98.762001
3454.8481,98.757950
3454.3660,98.753761
3453.8839,98.749519
3453.4018,98.745316
3452.9196,98.741310
3452.4375,98.737694
3451.9554,98.734673
3451.4733,98.732384
3450.9912,98.730896
3450.5091,98.730133
3450.0269,98.729919
3449.5448,98.730011
3449.0627,98.730110
3448.5806,98.729980
3448.0985,98.729462
3447.6164,98.728493
3447.1342,98.727089
3446.6521,98.725342
3446.1700,98.723366
3445.6879,98.721245
3445.2058,98.719048
3444.7237,98.716805
3444.2415,98.714508
3443.7594,98.712189
3443.2773,98.709885
3442.7952,98.707695
3442.3131,98.705750
3441.8310,98.704208
3441.3488,98.703201
3440.8667,98.702812
3440.3846,98.703011
3439.9025,98.703682
3439.4204,98.704636
3438.9383,98.705627
3438.4561,98.706436
3437.9740,98.706894
3437.4919,98.706909
3437.0098,98.706459
3436.5277,98.705582
3436.0456,98.704323
3435.5634,98.702721
3435.0813,98.700775
3434.5992,98.698479
3434.1171,98.695801
3433.6350,98.692780
3433.1529,98.689468
3432.6707,98.686020
3432.1886,98.682617
3431.7065,98.679466
3431.2244,98.676743
3430.7423,98.674599
3430.2602,98.673126
3429.7780,98.672356
3429.2959,98.672264
3428.8138,98.672821
3428.3317,98.673958
3427.8496,98.675606
3427.3675,98.677681
3426.8853,98.680092
3426.4032,98.682739
3425.9211,98.685532
3425.4390,98.688347
3424.9569,98.691063
3424.4748,98.693565
3423.9926,98.695717
3423.5105,98.697395
3423.0284,98.698494
3422.5463,98.698952
3422.0642,98.698738
3421.5821,98.697876
3421.0999,98.696426
3420.6178,98.694481
3420.1357,98.692131
3419.6536,98.689445
3419.1715,98.686493
3418.6894,98.683327
3418.2072,98.680008
3417.7251,98.676605
3417.2430,98.673233
3416.7609,98.670052
3416.2788,98.667206
3415.7967,98.664871
3415.3145,98.663162
3414.8324,98.662155
3414.3503,98.661865
3413.8682,98.662239
3413.3861,98.663185
3412.9040,98.664566
3412.4218,98.666245
3411.9397,98.668068
3411.4576,98.669876
3410.9755,98.671539
3410.4934,98.672913
3410.0113,98.673874
3409.5291,98.674324
3409.0470,98.674179
3408.5649,98.673424
3408.0828,98.672066
3407.6007,98.670181
3407.1186,98.667892
3406.6364,98.665329
3406.1543,98.662651
3405.6722,98.659996
3405.1901,98.657471
3404.7080,98.655113
3404.2259,98.652939
3403.7437,98.650925
3403.2616,98.649048
3402.7795,98.647293
3402.2974,98.645699
3401.8153,98.644333
3401.3332,98.643303
3400.8510,98.642708
3400.3689,98.642639
3399.8868,98.643150
3399.4047,98.644257
3398.9226,98.645905
3398.4405,98.648026
3397.9583,98.650513
3397.4762,98.653252
3396.9941,98.656082
3396.5120,98.658859
3396.0299,98.661430
3395.5478,98.663666
3395.0656,98.665459
3394.5835,98.666740
3394.1014,98.667488
3393.6193,98.667725
3393.1372,98.667496
3392.6551,98.666870
3392.1729,98.665932
3391.6908,98.664780
3391.2087,98.663490
3390.7266,98.662170
3390.2445,98.660919
3389.7624,98.659836
3389.2802,98.659012
3388.7981,98.658485
