wavenumber,transmittance
3359.3888,86.201324
3357.4603,86.250778
3355.5318,86.179863
3353.6034,86.190399
3351.6749,86.136818
3349.7464,85.929703
3347.8180,85.856529
3345.8895,85.538666
3343.9610,85.384262
3342.0326,85.461914
3340.1041,85.466606
3338.1756,85.552536
3336.2472,85.602448
3334.3187,85.587318
3332.3902,85.347900
3330.4618,85.328278
3328.5333,85.295319
3326.6048,85.188614
3324.6764,85.170898
3322.7479,85.034302
3320.8194,85.074486
3318.8910,85.147141
3316.9625,85.076218
3315.0340,84.791794
3313.1056,84.683624
3311.1771,84.921204
3309.2486,85.284096
3307.3202,85.338257
3305.3917,85.278564
3303.4632,85.363022
3301.5348,85.320564
3299.6063,85.343224
3297.6778,85.492470
3295.7494,85.642921
3293.8209,85.569107
3291.8924,85.501778
3289.9640,85.737427
3288.0355,85.888420
3286.1070,85.961678
3284.1786,86.204468
3282.2501,86.260132
3280.3216,85.896996
3278.3932,85.807976
3276.4647,86.084763
3274.5362,86.149330
3272.6078,86.015030
3270.6793,86.266052
3268.7508,86.674988
3266.8224,86.572395
3264.8939,86.493744
3262.9654,86.510307
3261.0370,86.721413
3259.1085,86.823753
3257.1800,86.913330
3255.2516,86.925072
3253.3231,86.892014
3251.3946,87.079132
3249.4662,87.183029
3247.5377,87.240570
3245.6092,87.173218
3243.6808,87.133408
3241.7523,87.066849
3239.8238,87.198654
3237.8954,87.482674
3235.9669,87.593529
3234.0384,87.578636
3232.1100,87.510277
3230.1815,87.572159
3228.2530,87.648865
3226.3246,87.631546
3224.3961,87.650810
3222.4676,87.721817
3220.5392,87.906914
3218.6107,87.947800
3216.6822,87.977135
3214.7538,88.022041
3212.8253,88.238396
3210.8968,88.426598
3208.9684,88.387115
3207.0399,88.433380
3205.1114,88.369598
3203.1830,88.384438
3201.2545,88.638245
3199.3260,88.627342
3197.3976,88.539871
3195.4691,88.537071
3193.5406,88.858154
3191.6122,89.037247
3189.6837,88.893639
3187.7552,88.733276
3185.8268,88.621902
3183.8983,88.769318
3181.9698,88.972565
3180.0414,89.199295
3178.1129,89.342514
3176.1844,89.123619
3174.2560,89.132072
3172.3275,89.448936
3170.3990,89.769737
3168.4706,89.914566
3166.5421,89.889153
3164.6136,89.721115
3162.6852,89.679520
3160.7567,89.774963
3158.8282,89.855759
3156.8998,89.896126
3154.9713,90.099815
3153.0428,90.275978
3151.1144,90.337608
3149.1859,90.426872
3147.2574,90.803215
3145.3290,90.845467
3143.4005,90.734421
3141.4720,90.882965
3139.5436,91.147110
3137.6151,91.215256
